cell,track,seed,n,noise,model,split,nu,horizon,lag,mse,relative_l2,max_state,fraction_abs_gt_1_5,energy_monotone_fraction,energy_max_increase,energy_mean_positive_increase,energy_is_lyapunov_candidate
0,irregular,42,16,0.0,autonomous,stress,0.08,0.6,0.06,0.002820829628035426,0.0732877105474472,1.1458020210266113,0.0,1.0,-0.007912158966064453,0.0,True
0,irregular,42,16,0.0,autonomous,stress,0.08,0.6,0.12,0.002820111345499754,0.07327837496995926,1.145787239074707,0.0,1.0,-0.0206221342086792,0.0,True
0,irregular,42,16,0.0,autonomous,stress,0.08,0.6,0.24,0.002818661043420434,0.07325953245162964,1.1457364559173584,0.0,1.0,-0.02063310146331787,0.0,True
0,irregular,42,16,0.0,autonomous,stress,0.08,1.2,0.06,0.007838097400963306,0.10754811018705368,1.1541603803634644,0.0,0.9375,0.005645632743835449,0.00016333162784576416,True
0,irregular,42,16,0.0,autonomous,stress,0.08,1.2,0.12,0.00783422403037548,0.10752154141664505,1.1541507244110107,0.0,0.9468749761581421,0.01111900806427002,0.00031599774956703186,True
0,irregular,42,16,0.0,autonomous,stress,0.08,1.2,0.24,0.007817285135388374,0.10740523785352707,1.1541028022766113,0.0,0.9312499761581421,0.02213430404663086,0.0005322739598341286,True
0,irregular,42,16,0.0,autonomous,stress,0.08,2.4,0.06,0.013519778847694397,0.13187693059444427,1.1586769819259644,0.0,0.5679687261581421,0.006296753883361816,0.0012672641314566135,True
0,irregular,42,16,0.0,autonomous,stress,0.08,2.4,0.12,0.013514594174921513,0.13185162842273712,1.1586761474609375,0.0,0.5687500238418579,0.012521147727966309,0.002522815950214863,True
0,irregular,42,16,0.0,autonomous,stress,0.08,2.4,0.24,0.013491773046553135,0.1317402571439743,1.1586675643920898,0.0,0.5687500238418579,0.02458810806274414,0.004971767775714397,True
1,irregular,42,16,0.0,query,test,0.005,0.6,0.06,0.0011346100363880396,0.05689074099063873,1.0897104740142822,0.0,1.0,-0.015004456043243408,0.0,True
1,irregular,42,16,0.0,query,test,0.005,0.6,0.12,0.0011409135768190026,0.057048555463552475,1.090080738067627,0.0,1.0,-0.03196445107460022,0.0,True
1,irregular,42,16,0.0,query,test,0.005,0.6,0.24,0.0011417733039706945,0.0570700503885746,1.089916467666626,0.0,1.0,-0.06927519291639328,0.0,True
1,irregular,42,16,0.0,query,test,0.005,1.2,0.06,0.005115494132041931,0.0905323326587677,1.142353892326355,0.0,1.0,-0.011617302894592285,0.0,True
1,irregular,42,16,0.0,query,test,0.005,1.2,0.12,0.005136219784617424,0.09071554243564606,1.142800211906433,0.0,1.0,-0.024857521057128906,0.0,True
1,irregular,42,16,0.0,query,test,0.005,1.2,0.24,0.005102859809994698,0.09042046219110489,1.142615556716919,0.0,1.0,-0.05789828300476074,0.0,True
1,irregular,42,16,0.0,query,test,0.005,2.4,0.06,0.013485251925885677,0.12154415994882584,1.1550185680389404,0.0,0.899218738079071,0.004227638244628906,0.00018656626343727112,True
1,irregular,42,16,0.0,query,test,0.005,2.4,0.12,0.013535315170884132,0.12176956236362457,1.1554826498031616,0.0,0.901562511920929,0.008446097373962402,0.0003719257074408233,True
1,irregular,42,16,0.0,query,test,0.005,2.4,0.24,0.013437027111649513,0.12132664024829865,1.1554114818572998,0.0,0.903124988079071,0.016225695610046387,0.0006954967975616455,True
1,irregular,42,16,0.0,query,test,0.02,0.6,0.06,0.0010781148448586464,0.05595988780260086,1.0859260559082031,0.0,1.0,-0.012651890516281128,0.0,True
1,irregular,42,16,0.0,query,test,0.02,0.6,0.12,0.0010844238568097353,0.05612338334321976,1.086297631263733,0.0,1.0,-0.026786983013153076,0.0,True
